"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 28 11:18:29 GMT 2023","Fri Jul 28 11:18:39 GMT 2023","10208","Parallel Test Suite","Static pages tests","tests.footer.OurDatacenterTest","tests.footer.OurDatacenterTest","testHTML5VideoPlayerUsingGermanyLocalization_Datacenter","testHTML5VideoPlayerUsingGermanyLocalization_Datacenter",""
"passed","Fri Jul 28 11:25:58 GMT 2023","Fri Jul 28 11:26:05 GMT 2023","6966","Parallel Test Suite","Search pages test","tests.header.VideoTest","tests.header.VideoTest","testVideoResultsEqualsSearchCriteriaWhenWatchingVideo","testVideoResultsEqualsSearchCriteriaWhenWatchingVideo",""
"passed","Fri Jul 28 11:19:45 GMT 2023","Fri Jul 28 11:19:48 GMT 2023","3876","Parallel Test Suite","Static pages tests","tests.header.TopMenuTest","tests.header.TopMenuTest","testRegionNavigateToCorrespondingPages","testRegionNavigateToCorrespondingPages",""
"passed","Fri Jul 28 11:16:06 GMT 2023","Fri Jul 28 11:16:13 GMT 2023","6929","Parallel Test Suite","Static pages tests","tests.header.TopMenuTest","tests.header.TopMenuTest","testCharityQueryCounterSearchNews","testCharityQueryCounterSearchNews",""
"passed","Fri Jul 28 11:15:59 GMT 2023","Fri Jul 28 11:16:03 GMT 2023","3844","Parallel Test Suite","Static pages tests","tests.footer.FooterMenuTest","tests.footer.FooterMenuTest","testCopyrightOnFooterSearchPages","testCopyrightOnFooterSearchPages",""
"passed","Fri Jul 28 11:20:35 GMT 2023","Fri Jul 28 11:20:39 GMT 2023","3956","Parallel Test Suite","Static pages tests","tests.footer.SetAsStartTest","tests.footer.SetAsStartTest","testH2FontSizesSetAsStartPage","testH2FontSizesSetAsStartPage",""
"passed","Fri Jul 28 11:25:29 GMT 2023","Fri Jul 28 11:25:41 GMT 2023","12089","Parallel Test Suite","Search pages test","tests.header.ImageTest","tests.header.ImageTest","testAddSeveralImagesToFavorite_ImagePage","testAddSeveralImagesToFavorite_ImagePage",""
"passed","Fri Jul 28 11:21:36 GMT 2023","Fri Jul 28 11:21:39 GMT 2023","3384","Parallel Test Suite","Static pages tests","tests.footer.ImprintTest","tests.footer.ImprintTest","tesEmailLinkColorImprintPage","tesEmailLinkColorImprintPage",""
"passed","Fri Jul 28 11:18:23 GMT 2023","Fri Jul 28 11:18:29 GMT 2023","5929","Parallel Test Suite","Static pages tests","tests.footer.FooterMenuTest","tests.footer.FooterMenuTest","testTwitterIconNavigatesToTwitterWeb","testTwitterIconNavigatesToTwitterWeb",""
"passed","Fri Jul 28 11:21:13 GMT 2023","Fri Jul 28 11:21:17 GMT 2023","3521","Parallel Test Suite","Static pages tests","tests.footer.DonationTest","tests.footer.DonationTest","testAllImageExistDonationPage","testAllImageExistDonationPage",""
"passed","Fri Jul 28 11:28:49 GMT 2023","Fri Jul 28 11:28:56 GMT 2023","6936","Parallel Test Suite","Search pages test","tests.header.WebPageTest","tests.header.WebPageTest","testUsingFilter_WebPage","testUsingFilter_WebPage",""
"passed","Fri Jul 28 11:29:03 GMT 2023","Fri Jul 28 11:29:11 GMT 2023","8526","Parallel Test Suite","Autobahn test","tests.AutobahnTest","tests.AutobahnTest","testBrazilianBotsAndError429Page","testBrazilianBotsAndError429Page",""
"passed","Fri Jul 28 11:18:03 GMT 2023","Fri Jul 28 11:18:07 GMT 2023","3668","Parallel Test Suite","Static pages tests","tests.header.TopMenuTest","tests.header.TopMenuTest","testLocalizationNavigateToCorrespondingPages","testLocalizationNavigateToCorrespondingPages",""
"passed","Fri Jul 28 11:20:48 GMT 2023","Fri Jul 28 11:20:53 GMT 2023","5043","Parallel Test Suite","Static pages tests","tests.header.EmailTest","tests.header.EmailTest","testLinksOfPriceContainersNavigateToCorrespondingPages_EmailPage","testLinksOfPriceContainersNavigateToCorrespondingPages_EmailPage",""
"passed","Fri Jul 28 11:16:44 GMT 2023","Fri Jul 28 11:16:49 GMT 2023","4429","Parallel Test Suite","Static pages tests","tests.footer.FooterMenuTest","tests.footer.FooterMenuTest","testExternalMenuLinksNavigateToCorrespondingPages","testExternalMenuLinksNavigateToCorrespondingPages",""
"passed","Fri Jul 28 11:20:15 GMT 2023","Fri Jul 28 11:20:20 GMT 2023","5169","Parallel Test Suite","Static pages tests","tests.header.EmailTest","tests.header.EmailTest","testLinksOfOfEmailPageNavigateToCorrespondingPages_EmailPage","testLinksOfOfEmailPageNavigateToCorrespondingPages_EmailPage",""
"passed","Fri Jul 28 11:15:53 GMT 2023","Fri Jul 28 11:16:00 GMT 2023","6964","Parallel Test Suite","Static pages tests","tests.header.TopMenuTest","tests.header.TopMenuTest","testCharityQueryCounterSearchAndGoBack_MainPage","testCharityQueryCounterSearchAndGoBack_MainPage",""
"passed","Fri Jul 28 11:18:52 GMT 2023","Fri Jul 28 11:18:56 GMT 2023","3952","Parallel Test Suite","Static pages tests","tests.footer.CharityProjectTest","tests.footer.CharityProjectTest","testLinksColorsCharityProjectPage","testLinksColorsCharityProjectPage",""
"passed","Fri Jul 28 11:16:19 GMT 2023","Fri Jul 28 11:16:24 GMT 2023","4486","Parallel Test Suite","Static pages tests","tests.header.TopMenuTest","tests.header.TopMenuTest","testCompanyLogoNavigatesToBaseURL","testCompanyLogoNavigatesToBaseURL",""
"passed","Fri Jul 28 11:26:34 GMT 2023","Fri Jul 28 11:26:41 GMT 2023","7038","Parallel Test Suite","Search pages test","tests.header.WebPageTest","tests.header.WebPageTest","testOpenNewsInTheNewsWidget_WebPage","testOpenNewsInTheNewsWidget_WebPage",""
"passed","Fri Jul 28 11:27:06 GMT 2023","Fri Jul 28 11:27:17 GMT 2023","10869","Parallel Test Suite","Search pages test","tests.header.MusicTest","tests.header.MusicTest","testPlayTrack","testPlayTrack",""
"passed","Fri Jul 28 11:23:56 GMT 2023","Fri Jul 28 11:24:03 GMT 2023","7495","Parallel Test Suite","Search pages test","tests.header.NewsTest","tests.header.NewsTest","testSearchField_NewsPage","testSearchField_NewsPage",""
"passed","Fri Jul 28 11:24:11 GMT 2023","Fri Jul 28 11:24:17 GMT 2023","5745","Parallel Test Suite","Search pages test","tests.header.VideoTest","tests.header.VideoTest","testCancelFilterSearch_VideoPage","testCancelFilterSearch_VideoPage",""
"passed","Fri Jul 28 11:21:31 GMT 2023","Fri Jul 28 11:21:35 GMT 2023","4277","Parallel Test Suite","Static pages tests","tests.footer.PrivacyPolicyTest","tests.footer.PrivacyPolicyTest","testPrivacyMicrosoftLinkNavigateToCorrespondingPages","testPrivacyMicrosoftLinkNavigateToCorrespondingPages",""
"passed","Fri Jul 28 11:20:32 GMT 2023","Fri Jul 28 11:20:35 GMT 2023","3425","Parallel Test Suite","Static pages tests","tests.header.TopMenuTest","tests.header.TopMenuTest","testThemeIsDefaultFirstOpenSite","testThemeIsDefaultFirstOpenSite",""
"passed","Fri Jul 28 11:20:43 GMT 2023","Fri Jul 28 11:20:47 GMT 2023","3746","Parallel Test Suite","Static pages tests","tests.footer.SetAsStartTest","tests.footer.SetAsStartTest","testLinksColorsSetAsStartPage","testLinksColorsSetAsStartPage",""
"passed","Fri Jul 28 11:20:20 GMT 2023","Fri Jul 28 11:20:26 GMT 2023","5524","Parallel Test Suite","Static pages tests","tests.header.EmailTest","tests.header.EmailTest","testLinksOfOfEmailPageNavigateToCorrespondingPages_EmailPage","testLinksOfOfEmailPageNavigateToCorrespondingPages_EmailPage",""
"passed","Fri Jul 28 11:19:10 GMT 2023","Fri Jul 28 11:19:14 GMT 2023","4114","Parallel Test Suite","Static pages tests","tests.header.VpnPageTest","tests.header.VpnPageTest","testAllButtonColorsWhenHover_VpnPage","testAllButtonColorsWhenHover_VpnPage",""
