"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 19 11:37:12 GMT 2023","Wed Jul 19 11:37:20 GMT 2023","7856","Parallel Test Suite","Search pages test","tests.header.ImageTest","tests.header.ImageTest","testSelectAnyQueryFromRelatedSearch_ImagePage","testSelectAnyQueryFromRelatedSearch_ImagePage",""
"passed","Wed Jul 19 11:37:47 GMT 2023","Wed Jul 19 11:37:59 GMT 2023","11554","Parallel Test Suite","Search pages test","tests.header.ImageTest","tests.header.ImageTest","testAddedImageEqualImageInFavorite_ImagePage","testAddedImageEqualImageInFavorite_ImagePage",""
"passed","Wed Jul 19 11:36:14 GMT 2023","Wed Jul 19 11:36:21 GMT 2023","6872","Parallel Test Suite","Search pages test","tests.header.ImageTest","tests.header.ImageTest","testImageInResultEqualsImageInSideView_ImagePage","testImageInResultEqualsImageInSideView_ImagePage",""
"passed","Wed Jul 19 11:37:34 GMT 2023","Wed Jul 19 11:37:47 GMT 2023","12499","Parallel Test Suite","Search pages test","tests.header.ImageTest","tests.header.ImageTest","testAddImageInFavorite_ImagePage","testAddImageInFavorite_ImagePage",""
"passed","Wed Jul 19 11:36:51 GMT 2023","Wed Jul 19 11:36:59 GMT 2023","7195","Parallel Test Suite","Search pages test","tests.header.ImageTest","tests.header.ImageTest","testRelatedSearch_ImagePage","testRelatedSearch_ImagePage",""
"skipped","Wed Jul 19 11:38:21 GMT 2023","Wed Jul 19 11:38:21 GMT 2023","0","Parallel Test Suite","Search pages test","tests.header.ImageTest","tests.header.ImageTest","testDeletedSeveralImagesFromFavorite_ImagePage","testDeletedSeveralImagesFromFavorite_ImagePage",""
"skipped","Wed Jul 19 11:38:21 GMT 2023","Wed Jul 19 11:38:21 GMT 2023","1","Parallel Test Suite","Search pages test","tests.header.ImageTest","tests.header.ImageTest","testAddSeveralImagesInFavorite_ImagePage","testAddSeveralImagesInFavorite_ImagePage",""
"passed","Wed Jul 19 11:36:31 GMT 2023","Wed Jul 19 11:36:38 GMT 2023","6717","Parallel Test Suite","Search pages test","tests.header.ImageTest","tests.header.ImageTest","testNextButtonInSideView_ImagePage","testNextButtonInSideView_ImagePage",""
"passed","Wed Jul 19 11:36:05 GMT 2023","Wed Jul 19 11:36:14 GMT 2023","9170","Parallel Test Suite","Search pages test","tests.header.ImageTest","tests.header.ImageTest","testFilterSearch_ImagePage","testFilterSearch_ImagePage",""
"skipped","Wed Jul 19 11:38:21 GMT 2023","Wed Jul 19 11:38:21 GMT 2023","1","Parallel Test Suite","Search pages test","tests.header.ImageTest","tests.header.ImageTest","testChangeLanguageInFavorite_ImagePage","testChangeLanguageInFavorite_ImagePage",""
"passed","Wed Jul 19 11:35:57 GMT 2023","Wed Jul 19 11:36:05 GMT 2023","7374","Parallel Test Suite","Search pages test","tests.header.ImageTest","tests.header.ImageTest","testCloseButtonInSideView_ImagePage","testCloseButtonInSideView_ImagePage",""
"passed","Wed Jul 19 11:36:59 GMT 2023","Wed Jul 19 11:37:11 GMT 2023","12539","Parallel Test Suite","Search pages test","tests.header.ImageTest","tests.header.ImageTest","testScrollToNextPage_ImagePage","testScrollToNextPage_ImagePage",""
"passed","Wed Jul 19 11:36:46 GMT 2023","Wed Jul 19 11:36:51 GMT 2023","5467","Parallel Test Suite","Search pages test","tests.header.ImageTest","tests.header.ImageTest","testRegionalSearch_ImagePage","testRegionalSearch_ImagePage",""
"passed","Wed Jul 19 11:37:26 GMT 2023","Wed Jul 19 11:37:34 GMT 2023","8095","Parallel Test Suite","Search pages test","tests.header.ImageTest","tests.header.ImageTest","testImageResultsEqualsSearchCriteria","testImageResultsEqualsSearchCriteria",""
"passed","Wed Jul 19 11:36:22 GMT 2023","Wed Jul 19 11:36:31 GMT 2023","9106","Parallel Test Suite","Search pages test","tests.header.ImageTest","tests.header.ImageTest","testNextButtonAndPrevButtonAdvertising_ImagePage","testNextButtonAndPrevButtonAdvertising_ImagePage",""
"passed","Wed Jul 19 11:37:20 GMT 2023","Wed Jul 19 11:37:25 GMT 2023","5601","Parallel Test Suite","Search pages test","tests.header.ImageTest","tests.header.ImageTest","testSuggestEqualsSearchCriteria_ImageSearch","testSuggestEqualsSearchCriteria_ImageSearch",""
"broken","Wed Jul 19 11:37:59 GMT 2023","Wed Jul 19 11:38:21 GMT 2023","21766","Parallel Test Suite","Search pages test","tests.header.ImageTest","tests.header.ImageTest","testDeleteImageFromFavorite_ImagePage_ImagePage","testDeleteImageFromFavorite_ImagePage_ImagePage",""
"passed","Wed Jul 19 11:36:38 GMT 2023","Wed Jul 19 11:36:45 GMT 2023","7218","Parallel Test Suite","Search pages test","tests.header.ImageTest","tests.header.ImageTest","testPrevButtonInSideView_ImagePage","testPrevButtonInSideView_ImagePage",""
