"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jul 29 20:53:47 GMT 2023","Sat Jul 29 20:53:54 GMT 2023","6885","Parallel Test Suite","Search pages test","tests.header.VideoTest","tests.header.VideoTest","testVideoResultsEqualsSearchCriteria","testVideoResultsEqualsSearchCriteria",""
"passed","Sat Jul 29 20:52:27 GMT 2023","Sat Jul 29 20:52:39 GMT 2023","11683","Parallel Test Suite","Search pages test","tests.header.VideoTest","tests.header.VideoTest","testPlayVideoFromSideList","testPlayVideoFromSideList",""
"passed","Sat Jul 29 20:52:56 GMT 2023","Sat Jul 29 20:53:20 GMT 2023","24311","Parallel Test Suite","Search pages test","tests.header.VideoTest","tests.header.VideoTest","testScrollToMaxPage_VideoPage","testScrollToMaxPage_VideoPage",""
"passed","Sat Jul 29 20:52:49 GMT 2023","Sat Jul 29 20:52:56 GMT 2023","6145","Parallel Test Suite","Search pages test","tests.header.VideoTest","tests.header.VideoTest","testRegionalSearch_VideoPage","testRegionalSearch_VideoPage",""
"passed","Sat Jul 29 20:52:39 GMT 2023","Sat Jul 29 20:52:49 GMT 2023","9634","Parallel Test Suite","Search pages test","tests.header.VideoTest","tests.header.VideoTest","testPlayVideo_VideoPage","testPlayVideo_VideoPage",""
"passed","Sat Jul 29 20:54:02 GMT 2023","Sat Jul 29 20:54:14 GMT 2023","12330","Parallel Test Suite","Autobahn test","tests.AutobahnTest","tests.AutobahnTest","testBrazilianBotsAndError429Page","testBrazilianBotsAndError429Page",""
"passed","Sat Jul 29 20:53:41 GMT 2023","Sat Jul 29 20:53:46 GMT 2023","5648","Parallel Test Suite","Search pages test","tests.header.VideoTest","tests.header.VideoTest","testSuggestEqualsSearchCriteria_VideoSearch","testSuggestEqualsSearchCriteria_VideoSearch",""
"passed","Sat Jul 29 20:53:21 GMT 2023","Sat Jul 29 20:53:29 GMT 2023","8353","Parallel Test Suite","Search pages test","tests.header.VideoTest","tests.header.VideoTest","testScrollToNextPageWhenWatchingVideo_VideoPage","testScrollToNextPageWhenWatchingVideo_VideoPage",""
"passed","Sat Jul 29 20:51:52 GMT 2023","Sat Jul 29 20:51:59 GMT 2023","6702","Parallel Test Suite","Search pages test","tests.header.VideoTest","tests.header.VideoTest","testCancelFilterSearch_VideoPage","testCancelFilterSearch_VideoPage",""
"passed","Sat Jul 29 20:53:54 GMT 2023","Sat Jul 29 20:54:01 GMT 2023","6932","Parallel Test Suite","Search pages test","tests.header.VideoTest","tests.header.VideoTest","testVideoResultsEqualsSearchCriteriaWhenWatchingVideo","testVideoResultsEqualsSearchCriteriaWhenWatchingVideo",""
"passed","Sat Jul 29 20:52:21 GMT 2023","Sat Jul 29 20:52:27 GMT 2023","6083","Parallel Test Suite","Search pages test","tests.header.VideoTest","tests.header.VideoTest","testImageProxy_VideoPage","testImageProxy_VideoPage",""
"passed","Sat Jul 29 20:52:13 GMT 2023","Sat Jul 29 20:52:20 GMT 2023","7252","Parallel Test Suite","Search pages test","tests.header.VideoTest","tests.header.VideoTest","testFilterSearch_VideoPage","testFilterSearch_VideoPage",""
"broken","Sat Jul 29 20:54:14 GMT 2023","Sat Jul 29 20:54:53 GMT 2023","38767","Parallel Test Suite","Autobahn test","tests.AutobahnTest","tests.AutobahnTest","testRegularBotAndError429Page","testRegularBotAndError429Page",""
"passed","Sat Jul 29 20:53:29 GMT 2023","Sat Jul 29 20:53:40 GMT 2023","11088","Parallel Test Suite","Search pages test","tests.header.VideoTest","tests.header.VideoTest","testScrollToNextPage_VideoPage","testScrollToNextPage_VideoPage",""
"passed","Sat Jul 29 20:52:00 GMT 2023","Sat Jul 29 20:52:13 GMT 2023","13204","Parallel Test Suite","Search pages test","tests.header.VideoTest","tests.header.VideoTest","testCheckboxNoRemindMe_VideoPage","testCheckboxNoRemindMe_VideoPage",""
