"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 26 11:57:00 GMT 2023","Wed Jul 26 11:57:07 GMT 2023","7471","Parallel Test Suite","Search pages test","tests.header.VideoTest","tests.header.VideoTest","testFilterSearch_VideoPage","testFilterSearch_VideoPage",""
"unknown","Wed Jul 26 11:56:43 GMT 2023","Wed Jul 26 11:56:43 GMT 2023","6","Parallel Test Suite","Search pages test","tests.header.VideoTest","tests.header.VideoTest","testHoverTextsRelatedSearch_VideoPage","testHoverTextsRelatedSearch_VideoPage",""
"passed","Wed Jul 26 11:56:51 GMT 2023","Wed Jul 26 11:56:59 GMT 2023","7804","Parallel Test Suite","Search pages test","tests.header.VideoTest","tests.header.VideoTest","testCancelFilterSearch_VideoPage","testCancelFilterSearch_VideoPage",""
"passed","Wed Jul 26 11:57:55 GMT 2023","Wed Jul 26 11:58:02 GMT 2023","6592","Parallel Test Suite","Search pages test","tests.header.VideoTest","tests.header.VideoTest","testVideoResultsEqualsSearchCriteria","testVideoResultsEqualsSearchCriteria",""
"failed","Wed Jul 26 11:57:38 GMT 2023","Wed Jul 26 11:57:48 GMT 2023","9667","Parallel Test Suite","Search pages test","tests.header.VideoTest","tests.header.VideoTest","testScrollToNextPage_VideoPage","testScrollToNextPage_VideoPage",""
"passed","Wed Jul 26 11:58:11 GMT 2023","Wed Jul 26 11:58:59 GMT 2023","48640","Parallel Test Suite","Autobahn test","tests.AutobahnTest","tests.AutobahnTest","testRegularBotAndError429Page","testRegularBotAndError429Page",""
"passed","Wed Jul 26 11:57:32 GMT 2023","Wed Jul 26 11:57:38 GMT 2023","5838","Parallel Test Suite","Search pages test","tests.header.VideoTest","tests.header.VideoTest","testRelatedSearch_VideoPage","testRelatedSearch_VideoPage",""
"passed","Wed Jul 26 11:57:14 GMT 2023","Wed Jul 26 11:57:25 GMT 2023","10970","Parallel Test Suite","Search pages test","tests.header.VideoTest","tests.header.VideoTest","testPlayVideo_VideoPage","testPlayVideo_VideoPage",""
"passed","Wed Jul 26 11:57:26 GMT 2023","Wed Jul 26 11:57:32 GMT 2023","6043","Parallel Test Suite","Search pages test","tests.header.VideoTest","tests.header.VideoTest","testRegionalSearch_VideoPage","testRegionalSearch_VideoPage",""
"broken","Wed Jul 26 11:58:02 GMT 2023","Wed Jul 26 11:58:10 GMT 2023","7230","Parallel Test Suite","Autobahn test","tests.AutobahnTest","tests.AutobahnTest","testBrazilianBotsAndError429Page","testBrazilianBotsAndError429Page",""
"passed","Wed Jul 26 11:57:49 GMT 2023","Wed Jul 26 11:57:55 GMT 2023","5706","Parallel Test Suite","Search pages test","tests.header.VideoTest","tests.header.VideoTest","testSuggestEqualsSearchCriteria_VideoSearch","testSuggestEqualsSearchCriteria_VideoSearch",""
"passed","Wed Jul 26 11:57:08 GMT 2023","Wed Jul 26 11:57:14 GMT 2023","6578","Parallel Test Suite","Search pages test","tests.header.VideoTest","tests.header.VideoTest","testImageProxy_VideoPage","testImageProxy_VideoPage",""
