"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 25 12:56:37 GMT 2023","Fri Aug 25 12:56:40 GMT 2023","3193","Parallel Test Suite","Static pages tests","tests.footer.FooterMenuTest","tests.footer.FooterMenuTest","testAboutSwisscowsTexts","testAboutSwisscowsTexts",""
"passed","Fri Aug 25 12:56:42 GMT 2023","Fri Aug 25 12:56:46 GMT 2023","4688","Parallel Test Suite","Static pages tests","tests.header.TopMenuTest","tests.header.TopMenuTest","testCharityQueryCounterAfterReloadPage_MainPage","testCharityQueryCounterAfterReloadPage_MainPage",""
"passed","Fri Aug 25 12:58:12 GMT 2023","Fri Aug 25 12:58:16 GMT 2023","4653","Parallel Test Suite","Static pages tests","tests.footer.FooterMenuTest","tests.footer.FooterMenuTest","testExternalMenuLinksNavigateToCorrespondingPages","testExternalMenuLinksNavigateToCorrespondingPages",""
"passed","Fri Aug 25 12:56:53 GMT 2023","Fri Aug 25 12:56:56 GMT 2023","3431","Parallel Test Suite","Static pages tests","tests.footer.FooterMenuTest","tests.footer.FooterMenuTest","testBlockOurServicesTexts","testBlockOurServicesTexts",""
"failed","Fri Aug 25 12:56:41 GMT 2023","Fri Aug 25 12:56:46 GMT 2023","5383","Parallel Test Suite","Static pages tests","tests.footer.FooterMenuTest","tests.footer.FooterMenuTest","testAppStoreIconNavigatesToAppStoreWeb","testAppStoreIconNavigatesToAppStoreWeb",""
"unknown","Fri Aug 25 12:56:19 GMT 2023","Fri Aug 25 12:56:19 GMT 2023","5","Parallel Test Suite","Static pages tests","tests.footer.FooterMenuTest","tests.footer.FooterMenuTest","testCopyrightOnFooterSearchPages","testCopyrightOnFooterSearchPages",""
"passed","Fri Aug 25 12:58:09 GMT 2023","Fri Aug 25 12:58:12 GMT 2023","2954","Parallel Test Suite","Static pages tests","tests.MainTest","tests.MainTest","testH1textIsCorrect_MainPage","testH1textIsCorrect_MainPage",""
"passed","Fri Aug 25 12:56:29 GMT 2023","Fri Aug 25 12:56:36 GMT 2023","7337","Parallel Test Suite","Static pages tests","tests.footer.FooterMenuTest","tests.footer.FooterMenuTest","testFooterMenuLinksAmount","testFooterMenuLinksAmount",""
"broken","Fri Aug 25 12:56:51 GMT 2023","Fri Aug 25 12:57:14 GMT 2023","23436","Parallel Test Suite","Static pages tests","tests.header.TopMenuTest","tests.header.TopMenuTest","testCharityQueryCounterSearchAndGoBack_MainPage","testCharityQueryCounterSearchAndGoBack_MainPage",""
"passed","Fri Aug 25 12:56:29 GMT 2023","Fri Aug 25 12:56:37 GMT 2023","7534","Parallel Test Suite","Static pages tests","tests.header.TopMenuTest","tests.header.TopMenuTest","tesThemeChanged","tesThemeChanged",""
"passed","Fri Aug 25 12:58:17 GMT 2023","Fri Aug 25 12:58:22 GMT 2023","5160","Parallel Test Suite","Static pages tests","tests.footer.FooterMenuTest","tests.footer.FooterMenuTest","testExternalMenuLinksNavigateToCorrespondingPages","testExternalMenuLinksNavigateToCorrespondingPages",""
"passed","Fri Aug 25 12:56:53 GMT 2023","Fri Aug 25 12:56:57 GMT 2023","4095","Parallel Test Suite","Static pages tests","tests.MainTest","tests.MainTest","testClickableAndVisibleInstallGoogleBlock","testClickableAndVisibleInstallGoogleBlock",""
