"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Jul 28 21:47:49 GMT 2023","Fri Jul 28 21:48:31 GMT 2023","41812","Parallel Test Suite","Autobahn test","tests.AutobahnTest","tests.AutobahnTest","testRegularBotAndError429Page","testRegularBotAndError429Page",""
"passed","Fri Jul 28 21:47:24 GMT 2023","Fri Jul 28 21:47:31 GMT 2023","6602","Parallel Test Suite","Search pages test","tests.header.VideoTest","tests.header.VideoTest","testVideoResultsEqualsSearchCriteria","testVideoResultsEqualsSearchCriteria",""
"passed","Fri Jul 28 21:46:00 GMT 2023","Fri Jul 28 21:46:13 GMT 2023","13639","Parallel Test Suite","Search pages test","tests.header.VideoTest","tests.header.VideoTest","testCheckboxNoRemindMe_VideoPage","testCheckboxNoRemindMe_VideoPage",""
"passed","Fri Jul 28 21:46:25 GMT 2023","Fri Jul 28 21:46:35 GMT 2023","10333","Parallel Test Suite","Search pages test","tests.header.VideoTest","tests.header.VideoTest","testPlayVideoFromSideList","testPlayVideoFromSideList",""
"passed","Fri Jul 28 21:47:38 GMT 2023","Fri Jul 28 21:47:49 GMT 2023","10489","Parallel Test Suite","Autobahn test","tests.AutobahnTest","tests.AutobahnTest","testBrazilianBotsAndError429Page","testBrazilianBotsAndError429Page",""
"passed","Fri Jul 28 21:46:45 GMT 2023","Fri Jul 28 21:46:51 GMT 2023","5818","Parallel Test Suite","Search pages test","tests.header.VideoTest","tests.header.VideoTest","testRegionalSearch_VideoPage","testRegionalSearch_VideoPage",""
"passed","Fri Jul 28 21:45:53 GMT 2023","Fri Jul 28 21:45:59 GMT 2023","6640","Parallel Test Suite","Search pages test","tests.header.VideoTest","tests.header.VideoTest","testCancelFilterSearch_VideoPage","testCancelFilterSearch_VideoPage",""
"passed","Fri Jul 28 21:46:36 GMT 2023","Fri Jul 28 21:46:45 GMT 2023","9498","Parallel Test Suite","Search pages test","tests.header.VideoTest","tests.header.VideoTest","testPlayVideo_VideoPage","testPlayVideo_VideoPage",""
"passed","Fri Jul 28 21:47:02 GMT 2023","Fri Jul 28 21:47:11 GMT 2023","8403","Parallel Test Suite","Search pages test","tests.header.VideoTest","tests.header.VideoTest","testScrollToNextPageWhenWatchingVideo_VideoPage","testScrollToNextPageWhenWatchingVideo_VideoPage",""
"passed","Fri Jul 28 21:47:31 GMT 2023","Fri Jul 28 21:47:38 GMT 2023","6398","Parallel Test Suite","Search pages test","tests.header.VideoTest","tests.header.VideoTest","testVideoResultsEqualsSearchCriteriaWhenWatchingVideo","testVideoResultsEqualsSearchCriteriaWhenWatchingVideo",""
"passed","Fri Jul 28 21:46:14 GMT 2023","Fri Jul 28 21:46:19 GMT 2023","5814","Parallel Test Suite","Search pages test","tests.header.VideoTest","tests.header.VideoTest","testFilterSearch_VideoPage","testFilterSearch_VideoPage",""
"passed","Fri Jul 28 21:47:19 GMT 2023","Fri Jul 28 21:47:24 GMT 2023","5449","Parallel Test Suite","Search pages test","tests.header.VideoTest","tests.header.VideoTest","testSuggestEqualsSearchCriteria_VideoSearch","testSuggestEqualsSearchCriteria_VideoSearch",""
"passed","Fri Jul 28 21:46:20 GMT 2023","Fri Jul 28 21:46:25 GMT 2023","5072","Parallel Test Suite","Search pages test","tests.header.VideoTest","tests.header.VideoTest","testImageProxy_VideoPage","testImageProxy_VideoPage",""
"failed","Fri Jul 28 21:46:52 GMT 2023","Fri Jul 28 21:47:02 GMT 2023","10002","Parallel Test Suite","Search pages test","tests.header.VideoTest","tests.header.VideoTest","testScrollToMaxPage_VideoPage","testScrollToMaxPage_VideoPage",""
"passed","Fri Jul 28 21:47:11 GMT 2023","Fri Jul 28 21:47:18 GMT 2023","7112","Parallel Test Suite","Search pages test","tests.header.VideoTest","tests.header.VideoTest","testScrollToNextPage_VideoPage","testScrollToNextPage_VideoPage",""
