"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Jul 12 19:48:01 GMT 2023","Wed Jul 12 19:48:25 GMT 2023","23239","Parallel Test Suite","Search pages test","tests.header.MusicTest","tests.header.MusicTest","testRegionalSearch_MusicPage","testRegionalSearch_MusicPage",""
"passed","Wed Jul 12 19:24:34 GMT 2023","Wed Jul 12 19:24:40 GMT 2023","6101","Parallel Test Suite","Static pages tests","tests.header.EmailTest","tests.header.EmailTest","testLinksOfOfEmailPageNavigateToCorrespondingPages_EmailPage","testLinksOfOfEmailPageNavigateToCorrespondingPages_EmailPage",""
"passed","Wed Jul 12 19:26:21 GMT 2023","Wed Jul 12 19:26:28 GMT 2023","6532","Parallel Test Suite","Static pages tests","tests.footer.MakeDefaultSearchTest","tests.footer.MakeDefaultSearchTest","testLocalizationGoToCorrespondingLanguage","testLocalizationGoToCorrespondingLanguage",""
"passed","Wed Jul 12 19:23:23 GMT 2023","Wed Jul 12 19:23:27 GMT 2023","4696","Parallel Test Suite","Static pages tests","tests.footer.OurDatacenterTest","tests.footer.OurDatacenterTest","testOurDatacenterSlider","testOurDatacenterSlider",""
"broken","Wed Jul 12 19:39:11 GMT 2023","Wed Jul 12 19:39:35 GMT 2023","23166","Parallel Test Suite","Search pages test","tests.header.WebPageTest","tests.header.WebPageTest","testOpenAnyLinkInWebResult_WebPage","testOpenAnyLinkInWebResult_WebPage",""
"broken","Wed Jul 12 19:29:48 GMT 2023","Wed Jul 12 19:30:11 GMT 2023","23583","Parallel Test Suite","Search pages test","tests.header.NewsTest","tests.header.NewsTest","testNextButtonInPaging_NewsPage","testNextButtonInPaging_NewsPage",""
"passed","Wed Jul 12 19:25:25 GMT 2023","Wed Jul 12 19:25:31 GMT 2023","6167","Parallel Test Suite","Static pages tests","tests.footer.SetAsStartTest","tests.footer.SetAsStartTest","testLocalizationGoToCorrespondingLanguage","testLocalizationGoToCorrespondingLanguage",""
"passed","Wed Jul 12 19:22:58 GMT 2023","Wed Jul 12 19:23:04 GMT 2023","6152","Parallel Test Suite","Static pages tests","tests.footer.OurDatacenterTest","tests.footer.OurDatacenterTest","testHTML5VideoPlayer_Datacenter","testHTML5VideoPlayer_Datacenter",""
"broken","Wed Jul 12 19:36:58 GMT 2023","Wed Jul 12 19:37:21 GMT 2023","23143","Parallel Test Suite","Search pages test","tests.header.ImageTest","tests.header.ImageTest","testSelectAnyQueryFromRelatedSearch_ImagePage","testSelectAnyQueryFromRelatedSearch_ImagePage",""
"passed","Wed Jul 12 19:19:25 GMT 2023","Wed Jul 12 19:19:29 GMT 2023","3841","Parallel Test Suite","Static pages tests","tests.MainTest","tests.MainTest","testClickableAndVisibleInstallGoogleBlock","testClickableAndVisibleInstallGoogleBlock",""
"passed","Wed Jul 12 19:23:10 GMT 2023","Wed Jul 12 19:23:16 GMT 2023","6582","Parallel Test Suite","Static pages tests","tests.footer.ContactUsTest","tests.footer.ContactUsTest","testContactUsButtonNavigateToCorrespondingPages","testContactUsButtonNavigateToCorrespondingPages",""
"passed","Wed Jul 12 19:16:55 GMT 2023","Wed Jul 12 19:17:00 GMT 2023","4365","Parallel Test Suite","Static pages tests","tests.footer.FooterMenuTest","tests.footer.FooterMenuTest","testExternalMenuLinksNavigateToCorrespondingPages","testExternalMenuLinksNavigateToCorrespondingPages",""
"broken","Wed Jul 12 19:42:46 GMT 2023","Wed Jul 12 19:42:50 GMT 2023","3850","Parallel Test Suite","Search pages test","tests.header.WebPageTest","tests.header.WebPageTest","testOpenVideoInVideoWidget_WebPage","testOpenVideoInVideoWidget_WebPage",""
"passed","Wed Jul 12 19:25:05 GMT 2023","Wed Jul 12 19:25:10 GMT 2023","5222","Parallel Test Suite","Static pages tests","tests.header.EmailTest","tests.header.EmailTest","testLinksOfPriceContainersNavigateToCorrespondingPages_EmailPage","testLinksOfPriceContainersNavigateToCorrespondingPages_EmailPage",""
"passed","Wed Jul 12 19:24:16 GMT 2023","Wed Jul 12 19:24:21 GMT 2023","4976","Parallel Test Suite","Static pages tests","tests.header.VpnPageTest","tests.header.VpnPageTest","testVpnLinksNavigateToCorrespondingPages","testVpnLinksNavigateToCorrespondingPages",""
"passed","Wed Jul 12 19:18:11 GMT 2023","Wed Jul 12 19:18:15 GMT 2023","3552","Parallel Test Suite","Static pages tests","tests.header.TopMenuTest","tests.header.TopMenuTest","testLocalizationNavigateToCorrespondingPages","testLocalizationNavigateToCorrespondingPages",""
"passed","Wed Jul 12 19:27:20 GMT 2023","Wed Jul 12 19:27:36 GMT 2023","15625","Parallel Test Suite","Static pages tests","tests.SubscriptionsTest","tests.SubscriptionsTest","testBuySubscriptionPlatinum","testBuySubscriptionPlatinum",""
"passed","Wed Jul 12 19:14:23 GMT 2023","Wed Jul 12 19:14:25 GMT 2023","2831","Parallel Test Suite","Static pages tests","tests.footer.FooterMenuTest","tests.footer.FooterMenuTest","testBlockImprintDonationDataPrivacyTexts","testBlockImprintDonationDataPrivacyTexts",""
"passed","Wed Jul 12 19:25:42 GMT 2023","Wed Jul 12 19:25:46 GMT 2023","4508","Parallel Test Suite","Static pages tests","tests.footer.DonationTest","tests.footer.DonationTest","testDonationLinksNavigateToCorrespondingPages","testDonationLinksNavigateToCorrespondingPages",""
"passed","Wed Jul 12 19:16:27 GMT 2023","Wed Jul 12 19:16:31 GMT 2023","3851","Parallel Test Suite","Static pages tests","tests.header.TopMenuTest","tests.header.TopMenuTest","testEachHamburgerMenuLinksNavigatesToCorrespondingPage","testEachHamburgerMenuLinksNavigatesToCorrespondingPage",""
"broken","Wed Jul 12 19:38:48 GMT 2023","Wed Jul 12 19:39:11 GMT 2023","23161","Parallel Test Suite","Search pages test","tests.header.WebPageTest","tests.header.WebPageTest","testOpenAdvertising_WebPage","testOpenAdvertising_WebPage",""
"passed","Wed Jul 12 19:24:53 GMT 2023","Wed Jul 12 19:24:58 GMT 2023","5541","Parallel Test Suite","Static pages tests","tests.header.EmailTest","tests.header.EmailTest","testLinksOfPriceContainersNavigateToCorrespondingPages_EmailPage","testLinksOfPriceContainersNavigateToCorrespondingPages_EmailPage",""
"passed","Wed Jul 12 19:16:56 GMT 2023","Wed Jul 12 19:17:06 GMT 2023","9667","Parallel Test Suite","Static pages tests","tests.header.TopMenuTest","tests.header.TopMenuTest","testEmailIconNavigatesToLoginPageIfLoggedIn","testEmailIconNavigatesToLoginPageIfLoggedIn",""
"broken","Wed Jul 12 19:31:57 GMT 2023","Wed Jul 12 19:32:21 GMT 2023","23547","Parallel Test Suite","Search pages test","tests.header.WebPageTest","tests.header.WebPageTest","testClickScreenshotButtonInPreview_WebPage","testClickScreenshotButtonInPreview_WebPage",""
"passed","Wed Jul 12 19:24:57 GMT 2023","Wed Jul 12 19:25:01 GMT 2023","3763","Parallel Test Suite","Static pages tests","tests.footer.SetAsStartTest","tests.footer.SetAsStartTest","testH2TextsSetAsStartPage","testH2TextsSetAsStartPage",""
